player,wkts,bb_bf,mdns,econ,4s,6s,sr,mins
Mohammed Shami (IND),23.0,251,3.0,4.876666666666667,0.0,0.0,,
A Zampa (AUS),22.0,516,1.0,5.38,0.0,0.0,,
D Madushanka (SL),21.0,470,4.0,6.786666666666666,0.0,0.0,,
G Coetzee (SA),20.0,381,1.0,6.4425,0.0,0.0,,
JJ Bumrah (IND),18.0,497,7.0,3.785,0.0,0.0,,
Shaheen Shah Afridi (PAK),18.0,486,3.0,5.895555555555556,0.0,0.0,,
M Jansen (SA),17.0,414,3.0,6.5088888888888885,0.0,0.0,,
MJ Santner (NZ),16.0,556,4.0,4.958,0.0,0.0,,
Haris Rauf (PAK),16.0,474,1.0,6.768888888888889,0.0,0.0,,
RA Jadeja (IND),16.0,501,4.0,4.369,0.0,0.0,,
BFW de Leede (NED),16.0,402,0.0,7.26375,0.0,0.0,,
KA Maharaj (SA),15.0,534,1.0,4.9350000000000005,0.0,0.0,,
Kuldeep Yadav (IND),15.0,511,2.0,3.925,0.0,0.0,,
AU Rashid (ENG),15.0,478,1.0,5.456666666666667,0.0,0.0,,
JR Hazlewood (AUS),14.0,499,8.0,4.616,0.0,0.0,,
TA Boult (NZ),14.0,546,6.0,5.535,0.0,0.0,,
Mohammed Siraj (IND),13.0,453,6.0,5.321,0.0,0.0,,
MA Starc (AUS),13.0,462,2.0,6.1466666666666665,0.0,0.0,,
PJ Cummins (AUS),13.0,477,1.0,5.906000000000001,0.0,0.0,,
K Rabada (SA),13.0,437,7.0,5.06,0.0,0.0,,
PA van Meekeren (NED),12.0,446,1.0,5.972222222222222,0.0,0.0,,
LV van Beek (NED),12.0,425,1.0,6.5,0.0,0.0,,
DJ Willey (ENG),11.0,306,6.0,5.0633333333333335,0.0,0.0,,
Rashid Khan (AFG),11.0,519,2.0,4.5488888888888885,0.0,0.0,,
MJ Henry (NZ),11.0,326,3.0,5.83,0.0,0.0,,
Mehidy Hasan Miraz (BAN),10.0,432,3.0,5.732222222222223,0.0,0.0,,
Mohammad Wasim (1) (PAK),10.0,229,2.0,5.5475,0.0,0.0,,
LH Ferguson (NZ),10.0,324,3.0,6.251428571428571,0.0,0.0,,
L Ngidi (SA),10.0,363,6.0,5.76125,0.0,0.0,,
Shoriful Islam (BAN),10.0,388,3.0,6.28,0.0,0.0,,
A Dutt (NED),10.0,465,6.0,5.566666666666666,0.0,0.0,,
CR Woakes (ENG),10.0,330,1.0,5.7275,0.0,0.0,,
Hasan Ali (PAK),9.0,306,2.0,6.198333333333333,0.0,0.0,,
T Shamsi (SA),9.0,227,0.0,5.5625,0.0,0.0,,
Shakib Al Hasan (BAN),9.0,375,1.0,5.265714285714286,0.0,0.0,,
Naveen-ul-Haq (AFG),8.0,322,1.0,6.608750000000001,0.0,0.0,,
Mujeeb Ur Rahman (AFG),8.0,491,2.0,5.666666666666667,0.0,0.0,,
CAK Rajitha (SL),8.0,294,1.0,7.243333333333333,0.0,0.0,,
Mohammad Nabi (AFG),8.0,369,4.0,4.868888888888889,0.0,0.0,,
RJW Topley (ENG),8.0,166,2.0,6.713333333333334,0.0,0.0,,
Azmatullah Omarzai (AFG),7.0,228,1.0,6.873333333333333,0.0,0.0,,
TG Southee (NZ),7.0,198,0.0,7.4,0.0,0.0,,
M Theekshana (SL),6.0,428,1.0,5.38,0.0,0.0,,
AD Mathews (SL),6.0,133,2.0,4.918,0.0,0.0,,
Mahedi Hasan (BAN),6.0,144,0.0,6.266666666666666,0.0,0.0,,
MA Wood (ENG),6.0,324,1.0,6.88,0.0,0.0,,
