player,runs,bb_bf_batting,4s_batting,6s_batting,sr_batting,not_out,mins_batting,wkts,bb_bf_bowling,mdns,econ,4s_bowling,6s_bowling,sr_bowling,mins_bowling,total_runs
V Kohli (IND),711.0,784.0,64.0,9.0,82.95599999999999,3.0,109.7,1.0,21.0,0.0,4.165,0.0,0.0,,,712.0
R Ravindra (NZ),578.0,543.0,55.0,17.0,94.56700000000001,1.0,87.2,5.0,394.0,0.0,6.243333333333333,0.0,0.0,,,583.0
DJ Mitchell (NZ),552.0,497.0,48.0,22.0,105.54222222222222,1.0,80.44444444444444,0.0,9.0,0.0,6.5,0.0,0.0,,,552.0
RG Sharma (IND),550.0,443.0,62.0,28.0,125.526,0.0,61.7,1.0,5.0,0.0,8.4,0.0,0.0,,,551.0
MR Marsh (AUS),426.0,395.0,42.0,20.0,82.61111111111111,1.0,58.666666666666664,2.0,66.0,0.0,7.9375,0.0,0.0,,,428.0
AK Markram (SA),406.0,366.0,44.0,9.0,151.525,1.0,51.0,1.0,111.0,1.0,5.48,0.0,0.0,,,407.0
GJ Maxwell (AUS),398.0,265.0,40.0,22.0,101.75125,2.0,46.375,5.0,375.0,1.0,4.928571428571429,0.0,0.0,,,403.0
Azmatullah Omarzai (AFG),353.0,361.0,26.0,13.0,100.35375,2.0,61.5,7.0,228.0,1.0,6.873333333333333,0.0,0.0,,,360.0
Shubman Gill (IND),350.0,324.0,41.0,12.0,108.915,1.0,64.625,0.0,12.0,0.0,5.5,0.0,0.0,,,350.0
Mahmudullah (BAN),328.0,358.0,28.0,14.0,92.87857142857142,1.0,73.85714285714286,0.0,30.0,0.0,6.553333333333334,0.0,0.0,,,328.0
Rahmat Shah (AFG),320.0,419.0,28.0,2.0,70.74555555555555,1.0,67.33333333333333,0.0,6.0,0.0,12.0,0.0,0.0,,,320.0
GD Phillips (NZ),285.0,255.0,22.0,14.0,119.54444444444442,2.0,43.77777777777778,6.0,240.0,1.0,5.711,0.0,0.0,,,291.0
