,player,opposition,wkts
1,A Zampa (AUS),v Netherlands,4.0
2,A Zampa (AUS),v Pakistan,4.0
3,A Zampa (AUS),v Sri Lanka,4.0
68,D Madushanka (SL),v India,5.0
132,G Coetzee (SA),v Afghanistan,4.0
161,Haris Rauf (PAK),v Australia,3.0
162,Haris Rauf (PAK),v England,3.0
163,Haris Rauf (PAK),v Netherlands,3.0
212,JJ Bumrah (IND),v Afghanistan,4.0
273,M Jansen (SA),v New Zealand,3.0
274,M Jansen (SA),v Pakistan,3.0
302,MJ Santner (NZ),v Netherlands,5.0
344,Mohammed Shami (IND),v New Zealand,12.0
400,RA Jadeja (IND),v South Africa,5.0
490,Shaheen Shah Afridi (PAK),v Australia,5.0
