,player,opposition,runs,wkts
0,A Dutt (NED),v Afghanistan,59,0.0
1,A Dutt (NED),v Australia,60,1.0
2,A Dutt (NED),v Bangladesh,35,1.0
3,A Dutt (NED),v England,68,2.0
4,A Dutt (NED),v India,57,0.0
5,A Dutt (NED),v New Zealand,73,2.0
6,A Dutt (NED),v Pakistan,49,1.0
7,A Dutt (NED),v South Africa,42,0.0
8,A Dutt (NED),v Sri Lanka,53,3.0
9,A Zampa (AUS),v Afghanistan,58,1.0
10,A Zampa (AUS),v Bangladesh,32,2.0
11,A Zampa (AUS),v England,50,3.0
12,A Zampa (AUS),v India,59,0.0
13,A Zampa (AUS),v Netherlands,9,4.0
14,A Zampa (AUS),v New Zealand,74,3.0
15,A Zampa (AUS),v Pakistan,54,4.0
16,A Zampa (AUS),v South Africa,136,1.0
17,A Zampa (AUS),v Sri Lanka,47,4.0
18,AAP Atkinson (ENG),v Netherlands,43,0.0
19,AAP Atkinson (ENG),v Pakistan,45,2.0
20,AAP Atkinson (ENG),v South Africa,95,2.0
21,AD Mathews (SL),v Afghanistan,41,0.0
22,AD Mathews (SL),v Bangladesh,35,2.0
23,AD Mathews (SL),v England,14,2.0
24,AD Mathews (SL),v India,23,0.0
25,AD Mathews (SL),v New Zealand,45,2.0
26,AK Markram (SA),v Afghanistan,50,0.0
27,AK Markram (SA),v Australia,89,1.0
28,AK Markram (SA),v Bangladesh,60,0.0
29,AK Markram (SA),v England,42,0.0
30,AK Markram (SA),v India,26,0.0
31,AK Markram (SA),v Netherlands,1,0.0
32,AK Markram (SA),v New Zealand,6,0.0
33,AK Markram (SA),v Pakistan,111,0.0
34,AK Markram (SA),v Sri Lanka,106,0.0
35,AL Phehlukwayo (SA),v Afghanistan,75,1.0
36,AT Carey (AUS),v India,0,0.0
37,AT Nidamanuru (NED),v Australia,14,0.0
38,AT Nidamanuru (NED),v England,41,0.0
39,AT Nidamanuru (NED),v India,54,0.0
40,AT Nidamanuru (NED),v New Zealand,21,0.0
41,AT Nidamanuru (NED),v Pakistan,5,0.0
42,AT Nidamanuru (NED),v South Africa,20,0.0
43,AT Nidamanuru (NED),v Sri Lanka,9,0.0
44,AU Rashid (ENG),v Afghanistan,62,3.0
45,AU Rashid (ENG),v Australia,58,2.0
46,AU Rashid (ENG),v Bangladesh,53,1.0
47,AU Rashid (ENG),v India,48,2.0
48,AU Rashid (ENG),v Netherlands,55,3.0
49,AU Rashid (ENG),v New Zealand,62,0.0
50,AU Rashid (ENG),v Pakistan,55,2.0
51,AU Rashid (ENG),v South Africa,71,2.0
52,AU Rashid (ENG),v Sri Lanka,41,0.0
53,Abdullah Shafique (PAK),v Afghanistan,58,0.0
54,Abdullah Shafique (PAK),v Australia,64,0.0
55,Abdullah Shafique (PAK),v Bangladesh,68,0.0
56,Abdullah Shafique (PAK),v England,0,0.0
57,Abdullah Shafique (PAK),v India,20,0.0
58,Abdullah Shafique (PAK),v New Zealand,4,0.0
59,Abdullah Shafique (PAK),v South Africa,9,0.0
60,Abdullah Shafique (PAK),v Sri Lanka,113,0.0
61,Agha Salman (PAK),v England,76,0.0
62,Agha Salman (PAK),v New Zealand,21,0.0
63,Azmatullah Omarzai (AFG),v Australia,74,2.0
64,Azmatullah Omarzai (AFG),v Bangladesh,31,1.0
65,Azmatullah Omarzai (AFG),v England,32,0.0
66,Azmatullah Omarzai (AFG),v India,96,0.0
67,Azmatullah Omarzai (AFG),v Netherlands,42,0.0
68,Azmatullah Omarzai (AFG),v New Zealand,83,2.0
69,Azmatullah Omarzai (AFG),v Pakistan,50,1.0
70,Azmatullah Omarzai (AFG),v South Africa,105,0.0
71,Azmatullah Omarzai (AFG),v Sri Lanka,110,1.0
72,BA Stokes (ENG),v Australia,64,0.0
73,BA Stokes (ENG),v India,0,0.0
74,BA Stokes (ENG),v Netherlands,108,0.0
75,BA Stokes (ENG),v Pakistan,84,0.0
76,BA Stokes (ENG),v South Africa,5,0.0
77,BA Stokes (ENG),v Sri Lanka,43,0.0
78,BFW de Leede (NED),v Afghanistan,3,0.0
79,BFW de Leede (NED),v Australia,119,2.0
80,BFW de Leede (NED),v Bangladesh,42,2.0
81,BFW de Leede (NED),v England,84,3.0
82,BFW de Leede (NED),v India,94,2.0
83,BFW de Leede (NED),v New Zealand,82,1.0
84,BFW de Leede (NED),v Pakistan,129,4.0
85,BFW de Leede (NED),v South Africa,38,2.0
86,BFW de Leede (NED),v Sri Lanka,35,0.0
87,BKG Mendis (SL),v Afghanistan,39,0.0
88,BKG Mendis (SL),v Australia,9,0.0
89,BKG Mendis (SL),v Bangladesh,19,0.0
90,BKG Mendis (SL),v England,11,0.0
91,BKG Mendis (SL),v India,1,0.0
92,BKG Mendis (SL),v Netherlands,11,0.0
93,BKG Mendis (SL),v New Zealand,6,0.0
94,BKG Mendis (SL),v Pakistan,122,0.0
95,BKG Mendis (SL),v South Africa,76,0.0
96,Babar Azam (PAK),v Afghanistan,74,0.0
97,Babar Azam (PAK),v Australia,18,0.0
98,Babar Azam (PAK),v Bangladesh,9,0.0
99,Babar Azam (PAK),v England,38,0.0
100,Babar Azam (PAK),v India,50,0.0
101,Babar Azam (PAK),v Netherlands,5,0.0
102,Babar Azam (PAK),v New Zealand,66,0.0
103,Babar Azam (PAK),v South Africa,50,0.0
104,Babar Azam (PAK),v Sri Lanka,10,0.0
105,C Green (AUS),v England,47,0.0
106,C Green (AUS),v India,19,0.0
107,C Green (AUS),v Netherlands,8,0.0
108,C Karunaratne (SL),v Australia,17,0.0
109,C Karunaratne (SL),v Netherlands,58,0.0
110,C Karunaratne (SL),v New Zealand,6,0.0
111,CAK Rajitha (SL),v Afghanistan,53,1.0
112,CAK Rajitha (SL),v Bangladesh,47,0.0
113,CAK Rajitha (SL),v England,36,2.0
114,CAK Rajitha (SL),v India,79,0.0
115,CAK Rajitha (SL),v Netherlands,50,4.0
116,CAK Rajitha (SL),v South Africa,123,1.0
117,CBRLS Kumara (SL),v Australia,51,0.0
118,CBRLS Kumara (SL),v England,35,3.0
119,CN Ackermann (NED),v Afghanistan,41,0.0
120,CN Ackermann (NED),v Australia,29,0.0
121,CN Ackermann (NED),v Bangladesh,40,1.0
122,CN Ackermann (NED),v England,31,0.0
123,CN Ackermann (NED),v India,60,0.0
124,CN Ackermann (NED),v New Zealand,97,0.0
125,CN Ackermann (NED),v Pakistan,56,2.0
126,CN Ackermann (NED),v South Africa,28,1.0
127,CN Ackermann (NED),v Sri Lanka,68,1.0
128,CR Woakes (ENG),v Afghanistan,50,0.0
129,CR Woakes (ENG),v Australia,86,4.0
130,CR Woakes (ENG),v Bangladesh,63,2.0
131,CR Woakes (ENG),v India,43,2.0
132,CR Woakes (ENG),v Netherlands,70,1.0
