,player,ground,runs,wkts
0,A Dutt (NED),Bengaluru,57,0.0
1,A Dutt (NED),Delhi,60,1.0
2,A Dutt (NED),Dharamsala,42,0.0
3,A Dutt (NED),Eden Gardens,35,1.0
4,A Dutt (NED),Hyderabad,122,3.0
5,A Dutt (NED),Lucknow,112,3.0
6,A Dutt (NED),Pune,68,2.0
7,A Zampa (AUS),Ahmedabad,50,3.0
8,A Zampa (AUS),Bengaluru,54,4.0
9,A Zampa (AUS),Chennai,59,0.0
10,A Zampa (AUS),Delhi,9,4.0
11,A Zampa (AUS),Dharamsala,74,3.0
12,A Zampa (AUS),Eden Gardens,55,0.0
13,A Zampa (AUS),Lucknow,128,5.0
14,A Zampa (AUS),Pune,32,2.0
15,A Zampa (AUS),Wankhede,58,1.0
16,AAP Atkinson (ENG),Eden Gardens,45,2.0
17,AAP Atkinson (ENG),Pune,43,0.0
18,AAP Atkinson (ENG),Wankhede,95,2.0
19,AD Mathews (SL),Bengaluru,59,4.0
20,AD Mathews (SL),Delhi,35,2.0
21,AD Mathews (SL),Pune,41,0.0
22,AD Mathews (SL),Wankhede,23,0.0
23,AK Markram (SA),Ahmedabad,50,0.0
24,AK Markram (SA),Chennai,111,0.0
25,AK Markram (SA),Delhi,106,0.0
26,AK Markram (SA),Dharamsala,1,0.0
27,AK Markram (SA),Eden Gardens,59,1.0
28,AK Markram (SA),Lucknow,56,0.0
29,AK Markram (SA),Pune,6,0.0
30,AK Markram (SA),Wankhede,102,0.0
31,AL Phehlukwayo (SA),Ahmedabad,75,1.0
32,AT Carey (AUS),Chennai,0,0.0
33,AT Nidamanuru (NED),Bengaluru,54,0.0
34,AT Nidamanuru (NED),Delhi,14,0.0
35,AT Nidamanuru (NED),Dharamsala,20,0.0
36,AT Nidamanuru (NED),Hyderabad,26,0.0
37,AT Nidamanuru (NED),Lucknow,9,0.0
38,AT Nidamanuru (NED),Pune,41,0.0
39,AU Rashid (ENG),Ahmedabad,120,2.0
40,AU Rashid (ENG),Bengaluru,41,0.0
41,AU Rashid (ENG),Delhi,62,3.0
42,AU Rashid (ENG),Dharamsala,53,1.0
43,AU Rashid (ENG),Eden Gardens,55,2.0
44,AU Rashid (ENG),Lucknow,48,2.0
45,AU Rashid (ENG),Pune,55,3.0
46,AU Rashid (ENG),Wankhede,71,2.0
47,Abdullah Shafique (PAK),Ahmedabad,20,0.0
48,Abdullah Shafique (PAK),Bengaluru,68,0.0
49,Abdullah Shafique (PAK),Chennai,67,0.0
50,Abdullah Shafique (PAK),Eden Gardens,68,0.0
51,Abdullah Shafique (PAK),Hyderabad,113,0.0
52,Agha Salman (PAK),Bengaluru,21,0.0
53,Agha Salman (PAK),Eden Gardens,76,0.0
54,Azmatullah Omarzai (AFG),Ahmedabad,105,0.0
55,Azmatullah Omarzai (AFG),Chennai,133,3.0
56,Azmatullah Omarzai (AFG),Delhi,128,0.0
57,Azmatullah Omarzai (AFG),Dharamsala,31,1.0
58,Azmatullah Omarzai (AFG),Lucknow,42,0.0
59,Azmatullah Omarzai (AFG),Pune,110,1.0
60,Azmatullah Omarzai (AFG),Wankhede,74,2.0
61,BA Stokes (ENG),Ahmedabad,64,0.0
62,BA Stokes (ENG),Bengaluru,43,0.0
63,BA Stokes (ENG),Eden Gardens,84,0.0
64,BA Stokes (ENG),Lucknow,0,0.0
65,BA Stokes (ENG),Pune,108,0.0
66,BA Stokes (ENG),Wankhede,5,0.0
67,BFW de Leede (NED),Bengaluru,94,2.0
68,BFW de Leede (NED),Delhi,119,2.0
69,BFW de Leede (NED),Dharamsala,38,2.0
70,BFW de Leede (NED),Eden Gardens,42,2.0
71,BFW de Leede (NED),Hyderabad,211,5.0
72,BFW de Leede (NED),Lucknow,38,0.0
73,BFW de Leede (NED),Pune,84,3.0
74,BKG Mendis (SL),Bengaluru,17,0.0
