,team,ground,runs,wkts
0,AFG,Ahmedabad,473,5.0
1,AFG,Chennai,973,13.0
2,AFG,Delhi,1005,12.0
3,AFG,Dharamsala,303,3.0
4,AFG,Lucknow,346,6.0
5,AFG,Pune,471,8.0
6,AFG,Wankhede,563,6.0
7,AUS,Ahmedabad,523,10.0
8,AUS,Bengaluru,639,10.0
9,AUS,Chennai,386,4.0
10,AUS,Delhi,477,9.0
11,AUS,Dharamsala,758,8.0
12,AUS,Eden Gardens,406,10.0
13,AUS,Lucknow,882,16.0
14,AUS,Pune,599,5.0
15,AUS,Wankhede,564,5.0
16,BAN,Chennai,483,2.0
17,BAN,Delhi,535,8.0
18,BAN,Dharamsala,887,19.0
19,BAN,Eden Gardens,758,12.0
20,BAN,Pune,1100,5.0
21,BAN,Wankhede,595,5.0
22,ENG,Ahmedabad,1073,11.0
23,ENG,Bengaluru,309,2.0
24,ENG,Delhi,485,8.0
25,ENG,Dharamsala,580,10.0
26,ENG,Eden Gardens,561,10.0
27,ENG,Lucknow,346,8.0
28,ENG,Pune,493,9.0
29,ENG,Wankhede,549,7.0
30,IND,Ahmedabad,378,10.0
31,IND,Bengaluru,623,9.0
32,IND,Chennai,386,10.0
33,IND,Delhi,525,8.0
34,IND,Dharamsala,534,9.0
35,IND,Eden Gardens,383,10.0
36,IND,Lucknow,349,10.0
37,IND,Pune,512,8.0
38,IND,Wankhede,1093,20.0
39,NED,Bengaluru,659,5.0
40,NED,Delhi,482,7.0
41,NED,Dharamsala,418,10.0
42,NED,Eden Gardens,359,9.0
43,NED,Hyderabad,1020,16.0
44,NED,Lucknow,820,8.0
45,NED,Pune,510,8.0
46,NZ,Ahmedabad,557,9.0
47,NZ,Bengaluru,914,11.0
48,NZ,Chennai,898,19.0
49,NZ,Dharamsala,1275,15.0
50,NZ,Hyderabad,531,9.0
51,NZ,Pune,508,4.0
52,NZ,Wankhede,693,4.0
53,PAK,Ahmedabad,378,3.0
54,PAK,Bengaluru,1231,15.0
55,PAK,Chennai,1067,11.0
56,PAK,Eden Gardens,969,18.0
57,PAK,Hyderabad,1141,18.0
58,SA,Ahmedabad,477,9.0
59,SA,Chennai,516,10.0
60,SA,Delhi,726,10.0
61,SA,Dharamsala,434,8.0
62,SA,Eden Gardens,818,12.0
63,SA,Lucknow,471,10.0
64,SA,Pune,507,10.0
65,SA,Wankhede,1148,19.0
66,SL,Bengaluru,649,12.0
67,SL,Delhi,1274,12.0
68,SL,Hyderabad,675,4.0
69,SL,Lucknow,906,13.0
70,SL,Pune,471,3.0
71,SL,Wankhede,391,6.0
