,JobTitle,Year,TotalPay,TotalPay,TotalPay,TotalPay,TotalPay,TotalPay,TotalPay
,,,sum,min,max,mean,std,mode,median
0,ACCOUNT CLERK,2011,3654960.14,614.0,60838.2,44035.6643373494,13170.74290817925,50401.81,49777.82
1,ACCOUNTANT,2011,237146.34,1148.4,65392.01,47429.268,27137.33131517854,1148.4,60076.24
2,ACCOUNTANT INTERN,2011,1393523.66,2981.53,58799.53,29031.742916666666,20711.32264887011,9940.0,17658.504999999997
3,"ACPO,JuvP, Juv Prob (SFERS)",2014,62290.78,62290.78,62290.78,62290.78,,62290.78,62290.78
4,ACUPUNCTURIST,2011,67594.4,67594.4,67594.4,67594.4,,67594.4,67594.4
5,ADMINISTRATIVE ANALYST,2011,5947802.68,2388.24,79754.03,63954.86752688172,18613.6958392244,75005.62,71602.9
6,ADMINISTRATIVE ANALYST II,2011,122994.07,47408.25,75585.82,61497.035,19924.55082435863,47408.25,61497.035
7,ADMINISTRATIVE ANALYST III,2011,185397.03,92550.03,92847.0,92698.515,209.98950080896984,92550.03,92698.515
8,ADMINISTRATIVE ENGINEER,2011,1279614.3,91833.33,149322.23,127961.43000000001,14993.07483849275,91833.33,130171.065
9,ADMINISTRATIVE SERVICES MANAGER,2011,231046.74,54261.37,92002.0,77015.58,20033.539610171236,54261.37,84783.37
10,"ADMINISTRATOR, SFGH MEDICAL CENTER",2011,257124.44,257124.44,257124.44,257124.44,,257124.44,257124.44
11,AFFIRMATIVE ACTION SPECIALIST,2011,409283.9,13872.5,79696.0,68213.98333333334,26646.805332345317,79696.0,79621.68
12,AGRICULTURAL INSPECTOR,2011,107172.2,48787.6,58384.6,53586.1,6786.1037790472965,48787.6,53586.1
13,"AIRPORT ASSISTANT DEPUTY DIRECTOR, BUSINESS ADMINI",2011,1927.5,1927.5,1927.5,1927.5,,1927.5,1927.5
14,"AIRPORT ASSISTANT DEPUTY DIRECTOR, OPERATIONS",2011,15420.0,15420.0,15420.0,15420.0,,15420.0,15420.0
15,AIRPORT COMMUNICATIONS OPERATOR,2011,2192799.86,40624.68,106776.25,81214.80962962963,17198.286259332184,40624.68,84652.51
16,AIRPORT COMMUNICATIONS SUPERVISOR,2011,176360.0,87876.34,88483.66,88180.0,429.440090350219,87876.34,88180.0
